,,,,,,
Cenário de Teste:,"Verificação da Criação do Token ""2.2.1.1 Gerar token de autenticação""",,,,,
,,,,,,
,Pré-Condição:,"Ter acesso às credenciais corretas para ""username"" : ""admin"" e ""password"" : ""password123""",,,,
,,,,,,
,Caso de Teste,Descrição do teste,Resultado esperado,Resultado Obtido,Status,Observação
,CTK-01,Passar credenciais corretas para criação com sucesso do Token,"Deve permitir a criação do Token com retorno de exemplo:
{
    ""token"": ""abc123""
}
Verificar caracteristicas do body da resposta. Tem de ter um campo ""token"" sendo string. 
*Teste de verificação dentro da requisição.",Criou Token,OK,-
,CTK-02,Idem anterior,"Simulei uma necessidade da resposta ser exibida em no máximo 2 segundos.
*Teste de verificação dentro da requisição.
** Criação minha, não consta na espec.",Resultado Obtido igual ao Resultado esperado,OK,-
,CTK-03,Idem anterior,"Verificação do Status de Resposta (Status Code). O Status Code deve ser 200.
*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,OK,-
,CTK-04,Idem anterior,"Verificar o Schema da resposta. O schema dessa resposta deve ser: type: ""array"",
    items: {
        type: ""object"",
        properties: {
            bookingid: {
                type: ""integer""
            }
        },
        required: [""bookingid""]
    }
*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,OK,-
,,,,,,
,,,,,,
Cenário de Teste:,"Verificação da Criação do Token com Problema ""2.2.1.2 Tentar gerar token com credenciais inválidas""",,,,,
,,,,,,
,Pré-Condição:,"Ter acesso às credenciais INcorretas para ""username""  e ""password"" ",,,,
,,,,,,
,Caso de Teste,Descrição do teste,Resultado esperado,Resultado Obtido,Status,Observação
,CTKP-01,"Passar credenciais INcorretas para tentativa de criação do Token (Passada Usuário: Ok / Senha: NOK)
2.2.1.2.b Tentar gerar token com credenciais inválidas SenhaErrada- CreateToken","Não deve criar o Token e retorno deve ser conforme exemplo:
{
     ""reason"": ""Bad credentials""
}",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-02,Idem anterior,"Simulei uma necessidade da resposta ser exibida em no máximo 2 segundos.
*Teste de verificação dentro da requisição.
** Criação minha, não consta na espec.",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-03,Idem anterior,"Verificação do Status de Resposta (Status Code). O Status Code deve ser 200.
*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-04,Idem anterior,"Verificar conteúdo da resposta. Tem de ter um campo ""reason"" com valor ""Bad credentials"" sendo string .
*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-05,Idem anterior,"Verificar o Schema da resposta. ""O schema dessa resposta deve ser: type: {
""""type"""": """"object"""",
  """"properties"""": {
    """"reason"""": {
      """"type"""": """"string""""
    }
  },
  """"required"""": [
    """"reason""""
  ]
    }""

*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-06,"Passar credenciais INcorretas para tentativa de criação do Token (Passada Usuário: NOk / Senha: OK)
2.2.1.2.c Tentar gerar token com credenciais inválidas - CreateToken - user errado","Não deve criar o Token e retorno deve ser conforme exemplo:
{
     ""reason"": ""Bad credentials""
}",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-07,Idem anterior,"Simulei uma necessidade da resposta ser exibida em no máximo 2 segundos.
*Teste de verificação dentro da requisição.
** Criação minha, não consta na espec.",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-08,Idem anterior,"Verificação do Status de Resposta (Status Code). O Status Code deve ser 200.
*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,Ok,
,CTKP-09,Idem anterior,"Verificar conteúdo da resposta. Tem de ter um campo ""reason"" com valor ""Bad credentials"" sendo string .
*Teste de verificação dentro da requisição.",Resultado Obtido igual ao Resultado esperado,Ok,
